Time,Linear kinetic energy,Angular kinetic energy,Kinetic energy (sum)
0,32,8.14451,40.1445
0.0166667,20.7216,8.14451,28.8661
0.0333333,12.111,8.14451,20.2555
0.05,6.16816,8.14451,14.3127
0.0666667,2.8931,8.14451,11.0376
0.0833333,2.28582,8.14451,10.4303
0.1,4.34632,8.14451,12.4908
0.116667,9.0746,8.14451,17.2191
0.133333,16.4707,8.14451,24.6152
0.15,26.5345,8.14451,34.679
0.166667,17.6056,2.73061,20.3362
0.183333,10.8801,2.73061,13.6107
0.2,6.82236,2.73061,9.55297
0.216667,5.4324,2.73061,8.16301
0.233333,6.71021,2.73061,9.44083
0.25,10.6558,2.73061,13.3864
0.266667,8.05155,2.72287,10.7744
0.283333,5.65228,2.72287,8.37514
0.3,5.92078,2.72287,8.64365
0.316667,8.85707,2.72287,11.5799
0.333333,7.14731,2.72386,9.87117
0.35,5.46173,2.72386,8.18559
0.366667,6.44393,2.72386,9.16779
0.383333,5.94222,2.72288,8.6651
0.4,5.45573,2.72136,8.17709
0.416667,5.44277,2.72109,8.16386
0.433333,5.44179,2.72101,8.1628
0.45,5.44159,2.72097,8.16256
0.466667,5.44153,2.72094,8.16247
0.483333,5.44151,2.72093,8.16244
0.5,5.44151,2.72091,8.16242
0.516667,5.44151,2.7209,8.16241
0.533333,5.44151,2.7209,8.16241
0.55,5.44151,2.7209,8.16241
0.566667,5.44151,2.7209,8.16241
0.583333,5.44151,2.7209,8.16241
0.6,5.44151,2.7209,8.16241
0.616667,5.44151,2.7209,8.16241
0.633333,5.44151,2.7209,8.16241
0.65,5.44151,2.7209,8.16241
0.666667,5.44151,2.7209,8.16241
0.683333,5.44151,2.7209,8.16241
0.7,5.44151,2.7209,8.16241
0.716667,5.44151,2.7209,8.16241
0.733333,5.44151,2.7209,8.16241
0.75,5.44151,2.7209,8.16241
0.766667,5.44151,2.7209,8.16241
0.783333,5.44151,2.7209,8.16241
0.8,5.44151,2.7209,8.16241
0.816667,5.44151,2.7209,8.16241
0.833333,5.44151,2.7209,8.16241
0.85,5.44151,2.7209,8.16241
0.866667,5.44151,2.7209,8.16241
0.883333,5.44151,2.7209,8.16241
0.9,5.44151,2.7209,8.16241
0.916667,5.44151,2.7209,8.16241
0.933333,5.44151,2.7209,8.16241
0.95,5.44151,2.7209,8.16241
0.966667,5.44151,2.7209,8.16241
0.983333,5.44151,2.7209,8.16241
1,5.44151,2.7209,8.16241
1.01667,5.44151,2.7209,8.16241
1.03333,5.44151,2.7209,8.16241
1.05,5.44151,2.7209,8.16241
1.06667,5.44151,2.7209,8.16241
1.08333,5.44151,2.7209,8.16241
1.1,5.44151,2.7209,8.16241
1.11667,5.44151,2.7209,8.16241
1.13333,5.44151,2.7209,8.16241
1.15,5.44151,2.7209,8.16241
1.16667,5.44151,2.7209,8.16241
1.18333,5.44151,2.7209,8.16241
1.2,5.44151,2.7209,8.16241
1.21667,5.44151,2.7209,8.16241
1.23333,5.44151,2.7209,8.16241
1.25,5.44151,2.7209,8.16241
1.26667,5.44151,2.7209,8.16241
1.28333,5.44151,2.7209,8.16241
1.3,5.44151,2.7209,8.16241
1.31667,5.44151,2.7209,8.16241
1.33333,5.44151,2.7209,8.16241
1.35,5.44151,2.7209,8.16241
1.36667,5.44151,2.7209,8.16241
1.38333,5.44151,2.7209,8.16241
1.4,5.44151,2.7209,8.16241
1.41667,5.44151,2.7209,8.16241
