Time,Linear kinetic energy,Angular kinetic energy,Kinetic energy (sum)
273.883,5.53497,2.7669,8.30187
273.9,5.53532,2.76655,8.30187
273.917,5.53268,2.76919,8.30187
273.933,5.53466,2.7672,8.30186
273.95,5.53492,2.76694,8.30186
273.967,5.5345,2.76736,8.30186
273.983,5.5347,2.76715,8.30185
274,5.53532,2.76653,8.30185
274.017,5.53498,2.76687,8.30185
274.033,5.53476,2.76709,8.30185
274.05,5.53559,2.76625,8.30185
274.067,5.53502,2.76683,8.30184
274.083,5.53494,2.7669,8.30184
274.1,5.53467,2.76717,8.30184
274.117,5.53529,2.76655,8.30184
274.133,5.52867,2.77317,8.30184
274.15,5.53406,2.76778,8.30184
274.167,5.53542,2.76641,8.30184
274.183,5.53535,2.76648,8.30183
274.2,5.53492,2.76691,8.30183
274.217,5.53517,2.76665,8.30183
274.233,5.53496,2.76687,8.30183
274.25,5.53495,2.76687,8.30182
274.267,5.53498,2.76684,8.30182
274.283,5.53492,2.7669,8.30182
274.3,5.53497,2.76684,8.30182
274.317,5.5352,2.76661,8.30182
274.333,5.53447,2.76734,8.30181
274.35,5.53446,2.76735,8.30181
274.367,5.53529,2.76652,8.30181
274.383,5.53161,2.7702,8.30181
274.4,5.53361,2.76819,8.30181
274.417,5.53458,2.76722,8.3018
274.433,5.53494,2.76686,8.3018
274.45,5.53509,2.76671,8.3018
274.467,5.53506,2.76673,8.3018
274.483,5.53448,2.76731,8.3018
274.5,5.53502,2.76677,8.30179
274.517,5.53552,2.76627,8.30179
274.533,5.53442,2.76737,8.30179
274.55,5.53517,2.76662,8.30178
274.567,5.53507,2.76671,8.30178
274.583,5.53409,2.7677,8.30178
274.6,5.53492,2.76686,8.30178
274.617,5.53492,2.76686,8.30178
274.633,5.53462,2.76715,8.30177
274.65,5.53547,2.7663,8.30177
274.667,5.5351,2.76666,8.30177
274.683,5.53492,2.76685,8.30177
274.7,5.53427,2.7675,8.30177
274.717,5.53509,2.76667,8.30177
274.733,5.53472,2.76705,8.30177
274.75,5.53479,2.76697,8.30176
274.767,5.53549,2.76627,8.30176
274.783,5.5352,2.76656,8.30176
274.8,5.5284,2.77336,8.30176
274.817,5.53469,2.76707,8.30176
274.833,5.53478,2.76698,8.30175
274.85,5.53518,2.76657,8.30175
274.867,5.53528,2.76647,8.30175
274.883,5.5298,2.77194,8.30175
274.9,5.53375,2.76799,8.30174
274.917,5.53482,2.76692,8.30174
274.933,5.53524,2.76649,8.30174
274.95,5.53553,2.76621,8.30174
274.967,5.53431,2.76742,8.30173
274.983,5.53487,2.76686,8.30173
275,5.53504,2.7667,8.30174
275.017,5.5353,2.76643,8.30173
275.033,5.53498,2.76675,8.30173
275.05,5.53474,2.76699,8.30173
275.067,5.50739,2.75358,8.26098
275.083,5.507,2.75318,8.26018
275.1,5.49613,2.74646,8.24259
275.117,5.48289,2.74059,8.22348
275.133,5.47511,2.73684,8.21196
275.15,5.46919,2.74073,8.20991
275.167,5.47508,2.73719,8.21227
275.183,5.47991,2.73975,8.21965
275.2,5.48152,2.73916,8.22068
275.217,5.48368,2.74077,8.22445
275.233,5.48357,2.74087,8.22444
275.25,5.48355,2.74089,8.22444
275.267,5.48105,2.74339,8.22443
275.283,5.48368,2.74062,8.2243
275.3,5.47915,2.75074,8.22989
275.317,5.49561,2.74736,8.24297
275.333,5.50951,2.75405,8.26356
275.35,5.52772,2.76398,8.29169
275.367,5.55222,2.7752,8.32742
275.383,5.5815,2.78929,8.37079
275.4,5.61536,2.80653,8.42189
275.417,5.65467,2.82615,8.48081
275.433,5.69869,2.84897,8.54766
275.45,5.74888,2.87368,8.62256
275.467,5.79757,2.90806,8.70562
275.483,5.86517,2.93188,8.79704
275.5,5.93174,2.96523,8.89697
275.517,6.00382,3.00176,9.00558
275.533,6.08276,3.04031,9.12307
275.55,6.16751,3.08214,9.24965
275.567,6.25776,3.1278,9.38555
275.583,6.35405,3.17697,9.53102
275.6,6.45799,3.22833,9.68633
275.617,6.56828,3.28346,9.85174
275.633,6.68558,3.34199,10.0276
275.65,6.81009,3.40405,10.2141
275.667,6.94208,3.4697,10.4118
275.683,7.0755,3.54531,10.6208
275.7,7.2279,3.61377,10.8417
275.717,7.3835,3.69127,11.0748
275.733,7.54817,3.77232,11.3205
275.75,7.72004,3.85925,11.5793
275.767,7.89491,3.95667,11.8516
275.783,8.09172,4.04624,12.138
275.8,8.29219,4.14669,12.4389
275.817,8.50391,4.25099,12.7549
275.833,8.72501,4.3616,13.0866
275.85,8.95699,4.47758,13.4346
275.867,9.19989,4.59957,13.7995
275.883,9.45512,4.72678,14.1819
275.9,9.72192,4.86066,14.5826
275.917,10.0019,5.00032,15.0022
275.933,10.2954,5.14628,15.4416
275.95,10.6015,5.30004,15.9016
275.967,10.9218,5.46101,16.3829
275.983,11.2581,5.62824,16.8864
276,11.609,5.80409,17.4131
276.017,11.9767,5.98711,17.9638
276.033,12.3612,6.17851,18.5397
276.05,12.7622,6.37953,19.1417
276.067,13.1812,6.58971,19.7709
276.083,13.62,6.80846,20.4285
276.1,14.0724,7.04312,21.1155
276.117,14.5563,7.2771,21.8334
276.133,15.0565,7.52695,22.5834
276.15,15.5686,7.7982,23.3668
276.167,16.124,8.06113,24.1851
276.183,16.6942,8.34548,25.0397
276.2,17.2882,8.64395,25.9321
276.217,17.9099,8.95407,26.864
276.233,18.5592,9.27781,27.837
276.25,19.2366,9.61634,28.853
276.267,19.9443,9.96933,29.9136
276.283,20.6822,10.3387,31.0209
276.3,21.4413,10.7354,32.1767
276.317,22.2554,11.1279,33.3833
276.333,23.0958,11.547,34.6428
276.35,23.9723,11.9851,35.9574
276.367,24.8885,12.441,37.3294
276.383,25.8419,12.9195,38.7615
276.4,26.8389,13.4171,40.256
276.417,27.8794,13.9363,41.8157
276.433,28.9499,14.4934,43.4433
276.45,30.0954,15.0465,45.1419
276.467,31.277,15.6375,46.9144
276.483,32.5115,16.2526,48.764
276.5,33.7963,16.8978,50.6941
276.517,35.1262,17.5817,52.7079
276.533,36.5407,18.2685,54.8092
276.55,38.002,18.9996,57.0016
276.567,39.5277,19.7613,59.289
276.583,41.1178,20.5578,61.6756
276.6,42.7788,21.3868,64.1656
276.617,44.5106,22.2528,66.7634
276.633,46.3156,23.1581,69.4736
276.65,48.2008,24.1003,72.3011
276.667,50.1694,25.0814,75.2507
276.683,54.5158,25.0814,79.5971
276.7,54.9763,27.2229,82.1992
276.717,56.6208,28.3065,84.9274
276.733,58.9282,29.4637,88.3919
276.75,61.3551,30.6752,92.0302
276.767,63.8787,31.95,95.8286
276.783,66.53,33.2618,99.7918
276.8,69.268,34.6582,103.926
276.817,74.8068,34.6582,109.465
276.833,75.7449,37.6409,113.386
276.85,78.3166,39.1606,117.477
276.867,81.5565,40.7824,122.339
276.883,84.9357,42.4997,127.435
276.9,88.503,44.2517,132.755
276.917,92.2039,46.0995,138.303
276.933,99.1729,46.0995,145.272
276.95,100.645,50.118,150.763
276.967,104.314,52.159,156.473
276.983,108.668,54.334,163.002
277,113.225,56.6111,169.836
277.017,117.98,58.9867,176.967
277.033,126.544,58.9867,185.53
277.05,128.625,64.1511,192.776
277.067,133.53,66.7722,200.302
277.083,139.126,69.5656,208.692
277.1,144.981,72.4855,217.467
277.117,155.195,72.4855,227.68
277.133,157.928,78.8321,236.76
277.15,164.11,82.068,246.178
277.167,171.001,85.5029,256.504
277.183,182.762,85.5029,268.265
277.2,186.133,92.9787,279.112
277.217,193.564,96.7966,290.36
277.233,201.691,100.846,302.537
277.25,215.329,100.846,316.175
277.267,219.41,109.654,329.064
277.283,228.272,114.155,342.426
277.3,237.851,118.922,356.772
277.317,253.703,118.922,372.625
277.333,258.614,129.28,387.894
277.35,269.132,134.583,403.715
277.367,280.403,140.193,420.596
277.383,298.848,140.193,439.041
277.4,304.722,152.358,457.08
277.417,317.171,158.592,475.763
277.433,337.679,158.592,496.271
277.45,344.456,172.267,516.724
277.467,358.612,179.314,537.927
277.483,381.596,179.314,560.91
277.5,389.299,194.705,584.004
277.517,405.289,202.654,607.942
277.533,431.038,202.654,633.691
277.55,439.718,220.003,659.721
277.567,457.802,228.907,686.709
277.583,486.639,228.907,715.545
277.6,496.514,248.322,744.836
277.617,527.177,248.322,775.499
277.633,538.1,269.102,807.202
277.65,571.513,269.102,840.615
277.667,583.138,291.668,874.805
277.683,607.8,302.468,910.268
277.7,645.163,302.468,947.631
277.717,657.234,328.651,985.885
277.733,697.293,328.651,1025.94
277.75,716.962,350.248,1067.21
277.767,760.322,350.248,1110.57
277.783,783.404,371.507,1154.91
277.8,806.094,394.154,1200.25
277.817,831.046,415.53,1246.58
277.833,862.54,431.276,1293.82
277.85,894.616,447.318,1341.93
277.867,927.282,463.649,1390.93
277.883,960.531,480.275,1440.81
277.9,994.363,497.197,1491.56
277.917,1028.79,514.4,1543.19
277.933,1063.79,531.91,1595.7
277.95,1099.33,549.762,1649.09
277.967,1135.56,567.797,1703.36
277.983,1172.33,586.177,1758.51
278,1209.68,604.853,1814.53
278.017,1247.62,623.818,1871.44
278.033,1286.13,643.083,1929.22
278.05,1325.24,662.636,1987.88
278.067,1364.93,682.483,2047.42
278.083,1405.21,702.619,2107.83
278.1,1446.07,723.059,2169.13
278.117,1487.52,743.783,2231.31
278.133,1529.56,764.803,2294.36
278.15,1572.17,786.117,2358.29
278.167,1615.38,807.719,2423.1
278.183,1659.18,829.606,2488.79
278.2,1703.55,851.804,2555.36
278.217,1748.44,874.358,2622.8
278.233,1794.06,897.06,2691.13
278.25,1840.21,920.121,2760.33
278.267,1886.92,943.493,2830.41
278.283,1934.22,967.146,2901.37
278.3,1982.12,991.085,2973.21
278.317,2030.6,1015.32,3045.92
278.333,2079.66,1039.86,3119.52
278.35,2129.31,1064.69,3193.99
278.367,2179.55,1089.8,3269.35
278.383,2230.37,1115.21,3345.58
278.4,2281.68,1141,3422.69
278.417,2333.76,1166.92,3500.67
278.433,2386.34,1193.2,3579.54
278.45,2439.5,1219.79,3659.29
278.467,2493.25,1246.66,3739.91
278.483,2547.59,1273.83,3821.41
278.5,2602.5,1301.29,3903.79
278.517,2658.01,1329.05,3987.05
278.533,2714.1,1357.09,4071.19
278.55,2770.78,1385.43,4156.21
278.567,2828.03,1414.07,4242.1
278.583,2885.88,1442.99,4328.87
278.6,2944.32,1472.21,4416.53
278.617,3003.34,1501.72,4505.06
278.633,3062.94,1531.52,4594.47
278.65,3123.14,1561.62,4684.75
278.667,3183.91,1592.01,4775.92
278.683,3245.27,1622.69,4867.96
278.7,3307.22,1653.66,4960.89
278.717,3369.75,1684.94,5054.69
278.733,3432.88,1716.49,5149.37
278.75,3496.47,1748.45,5244.93
278.767,3560.86,1780.5,5341.36
278.783,3625.75,1812.93,5438.68
278.8,3691.21,1845.67,5536.87
278.817,3757.26,1878.69,5635.94
278.833,3823.88,1912.02,5735.9
278.85,3891.1,1945.63,5836.73
278.867,3958.91,1979.52,5938.43
278.883,4027.31,2013.71,6041.02
278.9,4096.15,2048.33,6144.48
278.917,4165.83,2083,6248.83
278.933,4235.99,2118.06,6354.05
278.95,4306.72,2153.43,6460.15
278.967,4378.04,2189.09,6567.13
278.983,4449.93,2225.06,6674.99
279,4522.44,2261.29,6783.73
279.017,4595.39,2297.95,6893.34
279.033,4669.16,2334.68,7003.83
279.05,4743.42,2371.79,7115.21
279.067,4818.24,2409.22,7227.46
279.083,4893.67,2446.92,7340.59
279.1,4969.67,2484.93,7454.6
279.117,5046.26,2523.23,7569.48
279.133,5123.44,2561.81,7685.26
279.15,5201.11,2600.79,7801.9
279.167,5279.55,2639.88,7919.43
279.183,5358.48,2679.34,8037.82
279.2,5437.99,2719.11,8157.1
279.217,5518.11,2759.16,8277.26
279.233,5598.8,2799.5,8398.3
279.25,5680.08,2840.13,8520.21
279.267,5761.92,2881.08,8643.01
279.283,5844.37,2922.3,8766.68
279.3,5927.41,2963.82,8891.23
279.317,6011.03,3005.63,9016.66
279.333,6095.23,3047.74,9142.97
279.35,6180.03,3090.12,9270.15
279.367,6265.39,3132.83,9398.22
279.383,6351.37,3175.8,9527.16
279.4,6437.9,3219.08,9656.98
