Time,Potential gravitational energy
274.583,130047
274.6,130047
274.617,130047
274.633,130047
274.65,130047
274.667,130047
274.683,130047
274.7,130047
274.717,130047
274.733,130047
274.75,130047
274.767,130047
274.783,130047
274.8,130047
274.817,130047
274.833,130047
274.85,130047
274.867,130047
274.883,130047
274.9,130047
274.917,130047
274.933,130047
274.95,130047
274.967,130047
274.983,130047
275,130047
275.017,130047
275.033,130047
275.05,130047
275.067,130047
275.083,130047
275.1,130047
275.117,130047
275.133,130047
275.15,130047
275.167,130047
275.183,130047
275.2,130047
275.217,130047
275.233,130047
275.25,130047
275.267,130047
275.283,130047
275.3,130047
275.317,130047
275.333,130047
275.35,130047
275.367,130047
275.383,130047
275.4,130046
275.417,130046
275.433,130046
275.45,130046
275.467,130046
275.483,130046
275.5,130046
275.517,130046
275.533,130046
275.55,130046
275.567,130046
275.583,130045
275.6,130045
275.617,130045
275.633,130045
275.65,130045
275.667,130045
275.683,130044
275.7,130044
275.717,130044
275.733,130044
275.75,130043
275.767,130043
275.783,130043
275.8,130042
275.817,130042
275.833,130042
275.85,130041
275.867,130041
275.883,130041
275.9,130040
275.917,130040
275.933,130039
275.95,130039
275.967,130039
275.983,130038
276,130037
276.017,130037
276.033,130036
276.05,130036
276.067,130035
276.083,130034
276.1,130034
276.117,130033
276.133,130032
276.15,130032
276.167,130031
276.183,130030
276.2,130029
276.217,130028
276.233,130027
276.25,130026
276.267,130025
276.283,130024
276.3,130023
276.317,130022
276.333,130020
276.35,130019
276.367,130018
276.383,130016
276.4,130015
276.417,130013
276.433,130012
276.45,130010
276.467,130008
276.483,130006
276.5,130004
276.517,130002
276.533,130000
276.55,129998
276.567,129996
276.583,129993
276.6,129991
276.617,129988
276.633,129985
276.65,129983
276.667,129980
276.683,129975
276.7,129972
276.717,129970
276.733,129966
276.75,129963
276.767,129959
276.783,129955
276.8,129951
276.817,129945
276.833,129941
276.85,129937
276.867,129932
276.883,129927
276.9,129922
276.917,129917
276.933,129910
276.95,129903
276.967,129898
276.983,129892
277,129885
277.017,129878
277.033,129869
277.05,129861
277.067,129854
277.083,129846
277.1,129837
277.117,129827
277.133,129817
277.15,129808
277.167,129798
277.183,129786
277.2,129775
277.217,129764
277.233,129752
277.25,129738
277.267,129725
277.283,129712
277.3,129698
277.317,129682
277.333,129666
277.35,129650
277.367,129634
277.383,129615
277.4,129596
277.417,129578
277.433,129558
277.45,129537
277.467,129516
277.483,129493
277.5,129469
277.517,129445
277.533,129420
277.55,129393
277.567,129366
277.583,129338
277.6,129308
277.617,129277
277.633,129245
277.65,129212
277.667,129177
277.683,129142
277.7,129105
277.717,129066
277.733,129026
277.75,128984
277.767,128941
277.783,128896
277.8,128850
277.817,128803
277.833,128756
277.85,128708
277.867,128659
277.883,128609
277.9,128558
277.917,128507
277.933,128454
277.95,128401
277.967,128347
277.983,128292
278,128236
278.017,128179
278.033,128121
278.05,128062
278.067,128003
278.083,127942
278.1,127881
278.117,127819
278.133,127756
278.15,127692
278.167,127627
278.183,127561
278.2,127495
278.217,127427
278.233,127359
278.25,127290
278.267,127220
278.283,127149
278.3,127077
278.317,127004
278.333,126931
278.35,126856
278.367,126781
278.383,126704
278.4,126627
278.417,126549
278.433,126470
278.45,126391
278.467,126310
278.483,126229
278.5,126146
278.517,126063
278.533,125979
278.55,125894
278.567,125808
278.583,125721
278.6,125634
278.617,125545
278.633,125456
278.65,125365
278.667,125274
278.683,125182
278.7,125089
278.717,124995
278.733,124901
278.75,124805
278.767,124709
278.783,124611
278.8,124513
278.817,124414
278.833,124314
278.85,124213
278.867,124112
278.883,124009
278.9,123906
278.917,123801
278.933,123696
278.95,123590
278.967,123483
278.983,123375
279,123266
279.017,123157
279.033,123046
279.05,122935
279.067,122823
279.083,122709
279.1,122595
279.117,122481
279.133,122365
279.15,122248
279.167,122131
279.183,122012
279.2,121893
279.217,121773
279.233,121652
279.25,121530
279.267,121407
279.283,121283
279.3,121159
279.317,121033
279.333,120907
279.35,120780
279.367,120652
279.383,120523
279.4,120393
279.417,120262
279.433,120131
279.45,119998
279.467,119865
279.483,119731
279.5,119596
279.517,119460
279.533,119323
279.55,119185
279.567,119047
279.583,118907
279.6,118767
279.617,118625
279.633,118483
279.65,118340
279.667,118196
279.683,118052
279.7,117906
279.717,117760
279.733,117612
279.75,117464
279.767,117315
279.783,117165
279.8,117014
279.817,116862
279.833,116709
279.85,116556
279.867,116401
279.883,116246
279.9,116090
279.917,115933
279.933,115775
279.95,115616
279.967,115456
279.983,115296
280,115134
280.017,114972
280.033,114809
280.05,114645
280.067,114480
280.083,114314
280.1,114147
280.117,113980
280.133,113811
280.15,113642
280.167,113472
280.183,113301
280.2,113129
280.217,112956
280.233,112782
280.25,112607
280.267,112432
280.283,112255
280.3,112078
280.317,111900
280.333,111721
280.35,111541
280.367,111360
280.383,111179
280.4,110996
280.417,110813
280.433,110628
280.45,110443
280.467,110257
280.483,110070
280.5,109882
280.517,109694
280.533,109504
280.55,109314
280.567,109122
280.583,108930
280.6,108737
280.617,108543
280.633,108348
280.65,108153
280.667,107956
280.683,107759
280.7,107560
280.717,107361
280.733,107161
280.75,106960
280.767,106758
280.783,106555
280.8,106352
280.817,106147
280.833,105942
280.85,105736
280.867,105529
280.883,105321
280.9,105112
280.917,104902
280.933,104691
280.95,104480
280.967,104267
280.983,104054
281,103840
281.017,103625
281.033,103409
281.05,103192
281.067,102974
281.083,102756
281.1,102536
281.117,102316
281.133,102095
281.15,101873
281.167,101650
281.183,101426
281.2,101201
281.217,100976
281.233,100749
281.25,100522
281.267,100294
281.283,100065
281.3,99834.8
281.317,99603.9
281.333,99372.2
281.35,99139.6
281.367,98906.1
281.383,98671.7
281.4,98436.5
281.417,98200.4
281.433,97963.4
281.45,97725.5
281.467,97486.7
281.483,97247.1
281.5,97006.6
281.517,96765.2
281.533,96522.9
281.55,96279.8
281.567,96035.7
281.583,95790.8
281.6,95545
281.617,95298.4
281.633,95050.8
281.65,94802.4
281.667,94553.1
281.683,94302.9
281.7,94051.9
281.717,93800
281.733,93547.1
281.75,93293.4
281.767,93038.9
281.783,92783.4
281.8,92527.1
281.817,92269.9
281.833,92011.8
281.85,91752.9
281.867,91493
281.883,91232.3
281.9,90970.7
281.917,90708.2
281.933,90444.9
281.95,90180.6
281.967,89915.5
281.983,89649.5
282,89382.6
282.017,89114.9
282.033,88846.3
282.05,88576.8
282.067,88306.4
282.083,88035.1
282.1,87763
282.117,87490
282.133,87216.1
282.15,86941.3
282.167,86665.6
282.183,86389.1
282.2,86111.7
282.217,85833.4
282.233,85554.2
282.25,85274.2
282.267,84993.3
282.283,84711.5
282.3,84428.8
282.317,84145.2
282.333,83860.8
282.35,83575.4
282.367,83289.3
282.383,83002.2
282.4,82714.2
282.417,82425.4
282.433,82135.7
282.45,81845.1
282.467,81553.6
282.483,81261.3
282.5,80968
282.517,80673.9
282.533,80378.9
282.55,80083.1
282.567,79786.3
282.583,79488.7
282.6,79190.2
282.617,78890.9
282.633,78590.6
282.65,78289.5
282.667,77987.5
282.683,77684.6
282.7,77380.8
282.717,77076.2
282.733,76770.6
282.75,76464.3
282.767,76157
282.783,75848.8
282.8,75539.8
282.817,75229.9
282.833,74919.1
282.85,74607.4
282.867,74294.8
282.883,73981.4
282.9,73667.1
282.917,73351.9
282.933,73035.8
282.95,72718.9
282.967,72401.1
282.983,72082.4
283,71762.8
283.017,71442.3
283.033,71121
283.05,70798.8
283.067,70475.7
283.083,70151.7
283.1,69826.8
283.117,69501.1
283.133,69174.5
283.15,68847
283.167,68518.6
283.183,68189.4
283.2,67859.3
283.217,67528.3
283.233,67196.4
283.25,66863.6
283.267,66530
283.283,66195.5
283.3,65860.1
283.317,65523.8
283.333,65186.7
283.35,64848.6
283.367,64509.7
283.383,64169.9
283.4,63829.3
283.417,63487.7
283.433,63145.3
283.45,62802
283.467,62457.8
283.483,62112.8
283.5,61766.8
283.517,61420
283.533,61072.3
283.55,60723.8
283.567,60374.3
283.583,60024
283.6,59672.8
283.617,59320.7
283.633,58967.7
283.65,58613.9
283.667,58259.1
283.683,57903.5
283.7,57547.1
283.717,57189.7
283.733,56831.5
283.75,56472.4
283.767,56112.4
283.783,55751.5
283.8,55389.7
283.817,55027.1
283.833,54663.6
283.85,54299.2
283.867,53934
283.883,53567.8
283.9,53200.8
283.917,52832.9
283.933,52464.1
283.95,52094.5
283.967,51723.9
283.983,51352.5
284,50980.2
284.017,50607
284.033,50233
284.05,49858.1
284.067,49482.3
284.083,49105.6
284.1,48728
284.117,48349.6
284.133,47970.2
284.15,47590
284.167,47209
284.183,46827
284.2,46444.2
284.217,46060.5
284.233,45675.9
284.25,45290.4
284.267,44904.1
284.283,44516.8
284.3,44128.7
284.317,43739.7
284.333,43349.9
284.35,42959.1
284.367,42567.5
284.383,42175
284.4,41781.6
284.417,41387.4
284.433,40992.3
284.45,40596.2
284.467,40199.4
284.483,39801.6
284.5,39402.9
284.517,39003.4
284.533,38603
284.55,38201.7
284.567,37799.6
284.583,37396.5
284.6,36992.6
284.617,36587.8
284.633,36182.1
284.65,35775.6
284.667,35368.1
284.683,34959.8
284.7,34550.6
284.717,34140.6
284.733,33729.6
284.75,33317.8
284.767,32905.1
284.783,32491.5
284.8,32077
284.817,31661.7
284.833,31245.5
284.85,30828.4
284.867,30410.4
284.883,29991.5
284.9,29571.8
284.917,29151.2
284.933,28729.7
284.95,28307.3
284.967,27884.1
284.983,27460
285,27035
285.017,26609.1
285.033,26182.3
285.05,25754.7
285.067,25326.2
285.083,24896.8
285.1,24466.5
285.117,24035.3
285.133,23603.3
285.15,23170.4
285.167,22736.6
285.183,22301.9
285.2,21866.4
285.217,21430
285.233,20992.7
285.25,20554.5
285.267,20115.4
285.283,19675.5
285.3,19234.7
285.317,18793
285.333,18350.4
285.35,17906.9
285.367,17462.6
285.383,17017.4
285.4,16571.3
285.417,16124.3
285.433,15676.5
285.45,15227.8
285.467,14778.2
285.483,14327.7
285.5,13876.3
285.517,13424.1
285.533,12971
285.55,12517
285.567,12062.1
285.583,11606.4
285.6,11149.7
285.617,10692.2
285.633,10233.8
285.65,9774.57
285.667,9314.42
285.683,8853.4
285.7,8391.5
285.717,7928.72
285.733,7465.06
285.75,7000.52
285.767,6535.11
285.783,6068.81
285.8,5601.64
285.817,5133.59
285.833,4664.66
285.85,4194.85
285.867,3724.16
285.883,3724.17
285.9,4193.95
285.917,4661.05
285.933,5125.47
285.95,5587.2
285.967,6046.26
285.983,6502.63
286,6956.32
286.017,7407.33
286.033,7855.65
286.05,8301.3
286.067,8744.26
286.083,9184.54
286.1,9622.14
286.117,10057.1
286.133,10489.3
286.15,10918.8
286.167,11345.7
286.183,11769.9
286.2,12191.4
286.217,12610.2
286.233,13026.4
286.25,13439.8
286.267,13850.6
286.283,14258.7
286.3,14664.1
286.317,15066.8
286.333,15466.9
286.35,15864.3
286.367,16259
286.383,16651
286.4,17040.3
286.417,17426.9
286.433,17810.9
286.45,18192.2
286.467,18570.8
286.483,18946.7
286.5,19319.9
286.517,19690.5
286.533,20058.3
286.55,20423.5
286.567,20786
286.583,21145.8
286.6,21503
286.617,21857.4
286.633,22209.2
286.65,22558.3
286.667,22904.7
286.683,23248.4
286.7,23589.5
286.717,23927.9
286.733,24263.5
286.75,24596.5
286.767,24926.9
286.783,25254.5
286.8,25579.5
286.817,25901.7
286.833,26221.3
286.85,26538.2
286.867,26852.5
286.883,27164
286.9,27472.9
286.917,27779.1
286.933,28082.6
286.95,28383.4
286.967,28681.5
286.983,28977
287,29269.7
287.017,29559.8
287.033,29847.2
287.05,30132
287.067,30414
287.083,30693.4
287.1,30970.1
287.117,31244.1
287.133,31515.4
287.15,31784
287.167,32050
287.183,32313.2
287.2,32573.8
287.217,32831.7
287.233,33086.9
287.25,33339.5
287.267,33589.4
287.283,33836.5
287.3,34081
287.317,34322.9
287.333,34562
287.35,34798.4
287.367,35032.2
287.383,35263.3
287.4,35491.7
287.417,35717.4
287.433,35940.5
287.45,36160.8
287.467,36378.5
287.483,36593.5
287.5,36805.8
287.517,37015.5
287.533,37222.4
287.55,37426.7
287.567,37628.3
287.583,37827.2
287.6,38023.4
287.617,38216.9
287.633,38407.8
287.65,38596
287.667,38781.5
287.683,38964.3
287.7,39144.4
287.717,39321.9
287.733,39496.6
287.75,39668.7
287.767,39838.1
287.783,40004.8
287.8,40168.9
287.817,40330.2
287.833,40488.9
287.85,40644.9
287.867,40798.2
287.883,40948.8
287.9,41096.8
287.917,41242
287.933,41384.6
287.95,41524.5
287.967,41661.8
287.983,41796.3
288,41928.1
288.017,42057.3
288.033,42183.8
288.05,42307.6
288.067,42428.8
288.083,42547.2
288.1,42663
288.117,42776.1
288.133,42886.5
288.15,42994.2
288.167,43099.2
288.183,43201.6
288.2,43301.2
288.217,43398.2
288.233,43492.5
288.25,43584.2
288.267,43673.1
288.283,43759.4
288.3,43843
288.317,43923.9
288.333,44002.1
288.35,44077.6
288.367,44150.5
288.383,44220.6
288.4,44288.1
288.417,44352.9
288.433,44415.1
288.45,44474.5
288.467,44531.3
288.483,44585.3
288.5,44636.7
288.517,44685.5
288.533,44731.5
288.55,44774.8
288.567,44815.5
288.583,44853.5
288.6,44888.8
288.617,44921.4
288.633,44951.4
288.65,44978.6
288.667,45003.2
288.683,45025.1
288.7,45044.3
288.717,45060.9
288.733,45074.7
288.75,45085.9
288.767,45094.4
288.783,45100.2
288.8,45103.3
288.817,45103.7
288.833,45101.5
288.85,45096.6
288.867,45089
288.883,45078.7
288.9,45065.7
288.917,45050.1
288.933,45031.7
288.95,45010.7
288.967,44987
288.983,44960.6
289,44931.6
289.017,44899.8
289.033,44865.4
289.05,44828.3
289.067,44788.5
289.083,44746.1
289.1,44700.9
289.117,44653.1
289.133,44602.6
289.15,44549.4
289.167,44493.5
289.183,44434.9
289.2,44373.7
289.217,44309.7
289.233,44243.1
289.25,44173.8
289.267,44101.9
289.283,44027.2
289.3,43949.9
289.317,43869.9
289.333,43787.2
289.35,43701.8
289.367,43613.7
289.383,43523
289.4,43429.6
289.417,43333.4
289.433,43234.6
289.45,43133.2
289.467,43029
289.483,42922.2
289.5,42812.7
289.517,42700.5
289.533,42585.6
289.55,42468
289.567,42347.8
289.583,42224.8
289.6,42099.2
289.617,41970.9
289.633,41840
289.65,41706.3
289.667,41570
289.683,41431
289.7,41289.3
289.717,41144.9
289.733,40997.8
289.75,40848.1
289.767,40695.6
289.783,40540.5
289.8,40382.7
289.817,40222.3
289.833,40059.1
289.85,39893.3
289.867,39724.7
289.883,39553.5
289.9,39379.6
289.917,39203.1
289.933,39023.8
289.95,38841.9
289.967,38657.3
289.983,38470
290,38280
290.017,38087.4
290.033,37892
290.05,37694
290.067,37493.3
290.083,37289.9
290.1,37083.8
290.117,36875.1
290.133,36663.6
290.15,36449.5
290.167,36232.7
290.183,36013.3
290.2,35791.1
290.217,35566.3
290.233,35338.7
290.25,35108.5
290.267,34875.6
290.283,34640.1
290.3,34401.8
290.317,34160.9
290.333,33917.3
290.35,33671
290.367,33422
290.383,33170.3
290.4,32916
290.417,32659
290.433,32399.3
290.45,32136.9
290.467,31871.8
290.483,31604
290.5,31333.6
290.517,31060.5
290.533,30784.7
290.55,30506.2
290.567,30225.1
290.583,29941.2
290.6,29654.7
290.617,29365.5
290.633,29073.6
290.65,28779
290.667,28481.8
290.683,28181.8
290.7,27879.2
290.717,27573.9
290.733,27265.9
290.75,26955.3
290.767,26641.9
290.783,26325.9
290.8,26007.2
290.817,25685.8
290.833,25361.7
290.85,25034.9
290.867,24705.5
290.883,24373.4
290.9,24038.6
290.917,23701.1
290.933,23360.9
290.95,23018.1
290.967,22672.6
290.983,22324.3
291,21973.5
291.017,21619.9
291.033,21263.6
291.05,20904.7
291.067,20543.1
291.083,20178.8
291.1,19811.8
291.117,19442.1
291.133,19069.8
291.15,18694.7
291.167,18317
291.183,17936.6
291.2,17553.5
291.217,17167.8
291.233,16779.3
291.25,16388.2
291.267,15994.4
291.283,15597.9
291.3,15198.8
291.317,14796.9
291.333,14392.4
291.35,13985.2
291.367,13575.3
291.383,13162.7
291.4,12747.4
291.417,12329.5
291.433,11908.9
291.45,11485.6
291.467,11059.6
291.483,10630.9
291.5,10199.6
291.517,9765.52
291.533,9328.8
291.55,8889.4
291.567,8447.32
291.583,8002.56
291.6,7555.12
291.617,7104.99
291.633,6652.18
291.65,6196.69
291.667,5738.52
291.683,5277.67
291.7,4814.13
291.717,4347.91
291.733,3879.01
291.75,3879.01
291.767,4347.91
291.783,4814.13
291.8,5277.67
291.817,5738.52
291.833,6196.69
291.85,6652.18
291.867,7104.99
291.883,7555.12
291.9,8002.56
291.917,8447.32
291.933,8889.4
291.95,9328.8
291.967,9765.52
291.983,10199.6
292,10630.9
292.017,11059.6
292.033,11485.6
292.05,11908.9
292.067,12329.5
292.083,12747.4
292.1,13162.7
292.117,13575.3
292.133,13985.2
292.15,14392.4
292.167,14796.9
292.183,15198.8
292.2,15597.9
292.217,15994.4
292.233,16388.2
292.25,16779.3
292.267,17167.8
292.283,17553.5
292.3,17936.6
292.317,18317
292.333,18694.7
292.35,19069.8
292.367,19442.1
292.383,19811.8
