Time,Position (x)
68,3.25512
68.0167,3.25211
68.0333,3.24711
68.05,3.24011
68.0667,3.23113
68.0833,3.22018
68.1,3.20727
68.1167,3.19243
68.1333,3.17567
68.15,3.15701
68.1667,3.13649
68.1833,3.11414
68.2,3.08997
68.2167,3.06403
68.2333,3.03635
68.25,3.00697
68.2667,2.97593
68.2833,2.94328
68.3,2.90905
68.3167,2.87331
68.3333,2.83609
68.35,2.79744
68.3667,2.75743
68.3833,2.71611
68.4,2.67354
68.4167,2.62976
68.4333,2.58486
68.45,2.53888
68.4667,2.49189
68.4833,2.44395
68.5,2.39515
68.5167,2.34553
68.5333,2.29517
68.55,2.24414
68.5667,2.19251
68.5833,2.14035
68.6,2.08774
68.6167,2.03475
68.6333,1.98145
68.65,1.92791
68.6667,1.87421
68.6833,1.82043
68.7,1.76663
68.7167,1.7129
68.7333,1.65931
68.75,1.60593
68.7667,1.55283
68.7833,1.5001
68.8,1.4478
68.8167,1.39601
68.8333,1.34479
68.85,1.29422
68.8667,1.24438
68.8833,1.19532
68.9,1.14712
68.9167,1.09984
68.9333,1.05355
68.95,1.00831
68.9667,0.964193
68.9833,0.921251
69,0.879547
69.0167,0.839137
69.0333,0.800078
69.05,0.762425
69.0667,0.72623
69.0833,0.691542
69.1,0.65841
69.1167,0.62688
69.1333,0.596996
69.15,0.568799
69.1667,0.542328
69.1833,0.517621
69.2,0.49471
69.2167,0.473629
69.2333,0.454406
69.25,0.437069
69.2667,0.42164
69.2833,0.408142
69.3,0.396593
69.3167,0.387009
69.3333,0.379404
69.35,0.373788
69.3667,0.370169
69.3833,0.368552
69.4,0.368853
69.4167,0.370985
69.4333,0.374946
69.45,0.38073
69.4667,0.388328
69.4833,0.397732
69.5,0.408926
69.5167,0.421897
69.5333,0.436625
69.55,0.45309
69.5667,0.47127
69.5833,0.491139
69.6,0.51267
69.6167,0.535832
69.6333,0.560594
69.65,0.58692
69.6667,0.614776
69.6833,0.644121
69.7,0.674915
69.7167,0.707116
69.7333,0.740678
69.75,0.775555
69.7667,0.811699
69.7833,0.849059
69.8,0.887583
69.8167,0.927219
69.8333,0.96791
69.85,1.0096
69.8667,1.05223
69.8833,1.09575
69.9,1.14008
69.9167,1.18518
69.9333,1.23097
69.95,1.2774
69.9667,1.3244
69.9833,1.3719
70,1.41984
70.0167,1.46816
70.0333,1.51677
70.05,1.56563
70.0667,1.61465
70.0833,1.66378
70.1,1.71294
70.1167,1.76206
70.1333,1.81108
70.15,1.85993
70.1667,1.90854
70.1833,1.95684
70.2,2.00477
70.2167,2.05226
70.2333,2.09924
70.25,2.14566
70.2667,2.19143
70.2833,2.23651
70.3,2.28082
70.3167,2.32431
70.3333,2.36692
70.35,2.40858
70.3667,2.44925
70.3833,2.48885
70.4,2.52734
70.4167,2.56467
70.4333,2.60078
70.45,2.63562
70.4667,2.66915
70.4833,2.70132
70.5,2.73207
70.5167,2.76138
70.5333,2.7892
70.55,2.81548
70.5667,2.8402
70.5833,2.86333
70.6,2.88482
70.6167,2.90464
70.6333,2.92278
70.65,2.93921
70.6667,2.95389
70.6833,2.96682
70.7,2.97798
70.7167,2.98734
70.7333,2.9949
70.75,3.00064
70.7667,3.00456
70.7833,3.00666
70.8,3.00701
70.8167,3.00569
70.8333,3.00273
70.85,2.99811
70.8667,2.99184
70.8833,2.98393
70.9,2.9744
70.9167,2.96325
70.9333,2.95051
70.95,2.93618
70.9667,2.9203
70.9833,2.90287
71,2.88393
71.0167,2.8635
71.0333,2.84161
71.05,2.8183
71.0667,2.79358
71.0833,2.76751
71.1,2.7401
71.1167,2.71141
71.1333,2.68147
71.15,2.65033
71.1667,2.61801
71.1833,2.58459
71.2,2.55008
71.2167,2.51456
71.2333,2.47806
71.25,2.44063
71.2667,2.40233
71.2833,2.36321
71.3,2.32333
71.3167,2.28274
71.3333,2.2415
71.35,2.19965
71.3667,2.15727
71.3833,2.11442
71.4,2.07114
71.4167,2.0275
71.4333,1.98357
71.45,1.93939
71.4667,1.89504
71.4833,1.85058
71.5,1.80606
71.5167,1.76155
71.5333,1.71711
71.55,1.67281
71.5667,1.62869
71.5833,1.58483
71.6,1.54129
71.6167,1.49813
71.6333,1.4554
71.65,1.41316
71.6667,1.37148
71.6833,1.33041
71.7,1.29002
71.7167,1.25034
71.7333,1.21145
71.75,1.17339
71.7667,1.13621
71.7833,1.09998
71.8,1.06474
71.8167,1.03053
71.8333,0.997406
71.85,0.965415
71.8667,0.9346
71.8833,0.905004
71.9,0.876667
71.9167,0.849628
71.9333,0.823926
