Time,Acceleration (x)
68,-7.21829
68.0167,-7.20821
68.0333,-7.18812
68.05,-7.15805
68.0667,-7.11803
68.0833,-7.06813
68.1,-7.00843
68.1167,-6.93898
68.1333,-6.85992
68.15,-6.7713
68.1667,-6.67331
68.1833,-6.56603
68.2,-6.44964
68.2167,-6.3243
68.2333,-6.19017
68.25,-6.04747
68.2667,-5.89637
68.2833,-5.73707
68.3,-5.56978
68.3167,-5.39482
68.3333,-5.21233
68.35,-5.02258
68.3667,-4.82593
68.3833,-4.62254
68.4,-4.41271
68.4167,-4.19681
68.4333,-3.97502
68.45,-3.74778
68.4667,-3.51531
68.4833,-3.27793
68.5,-3.03606
68.5167,-2.78994
68.5333,-2.53996
68.55,-2.28646
68.5667,-2.02977
68.5833,-1.7703
68.6,-1.50837
68.6167,-1.24432
68.6333,-0.978556
68.65,-0.711465
68.6667,-0.44333
68.6833,-0.174651
68.7,0.0942993
68.7167,0.363135
68.7333,0.631456
68.75,0.898862
68.7667,1.16502
68.7833,1.42958
68.8,1.69215
68.8167,1.95236
68.8333,2.20985
68.85,2.46428
68.8667,2.71528
68.8833,2.96253
68.9,3.20563
68.9167,3.44431
68.9333,3.67819
68.95,3.90694
68.9667,4.13029
68.9833,4.34788
69,4.55944
69.0167,4.76469
69.0333,4.9633
69.05,5.15503
69.0667,5.33958
69.0833,5.51672
69.1,5.68621
69.1167,5.8478
69.1333,6.00129
69.15,6.14642
69.1667,6.28303
69.1833,6.41092
69.2,6.52989
69.2167,6.63981
69.2333,6.74053
69.25,6.83185
69.2667,6.91371
69.2833,6.98597
69.3,7.04853
69.3167,7.1013
69.3333,7.14423
69.35,7.17722
69.3667,7.20025
69.3833,7.21328
69.4,6.59649
69.4167,6.59036
69.4333,6.57508
69.45,6.55067
69.4667,6.51716
69.4833,6.4746
69.5,6.42306
69.5167,6.3626
69.5333,6.29331
69.55,6.21526
69.5667,6.1286
69.5833,6.03343
69.6,5.92987
69.6167,5.81809
69.6333,5.69821
69.65,5.57045
69.6667,5.43493
69.6833,5.29188
69.7,5.14147
69.7167,4.98394
69.7333,4.81948
69.75,4.64832
69.7667,4.47073
69.7833,4.2869
69.8,4.09714
69.8167,3.90169
69.8333,3.70082
69.85,3.49484
69.8667,3.28398
69.8833,3.06858
69.9,2.84893
69.9167,2.6253
69.9333,2.39805
69.95,2.16744
69.9667,1.93385
69.9833,1.69759
70,1.45892
70.0167,1.21828
70.0333,0.975952
70.05,0.73225
70.0667,0.487576
70.0833,0.242186
70.1,-0.00353336
70.1167,-0.249209
70.1333,-0.494585
70.15,-0.73926
70.1667,-0.982876
70.1833,-1.22515
70.2,-1.46572
70.2167,-1.70425
70.2333,-1.9404
70.25,-2.17385
70.2667,-2.4043
70.2833,-2.63141
70.3,-2.85486
70.3167,-3.07433
70.3333,-3.28953
70.35,-3.50015
70.3667,-3.70594
70.3833,-3.90655
70.4,-4.10175
70.4167,-4.29128
70.4333,-4.4748
70.45,-4.65214
70.4667,-4.82299
70.4833,-4.98716
70.5,-5.14441
70.5167,-5.29452
70.5333,-5.43726
70.55,-5.57246
70.5667,-5.69992
70.5833,-5.81948
70.6,-5.93093
70.6167,-6.03417
70.6333,-6.12902
70.65,-6.21537
70.6667,-6.29308
70.6833,-6.36206
70.7,-6.4222
70.7167,-6.47343
70.7333,-6.51568
70.75,-6.54887
70.7667,-6.57298
70.7833,-6.58796
70.8,-5.97437
70.8167,-5.97192
70.8333,-5.96117
70.85,-5.94215
70.8667,-5.91487
70.8833,-5.87939
70.9,-5.83574
70.9167,-5.78398
70.9333,-5.7242
70.95,-5.65646
70.9667,-5.58089
70.9833,-5.49754
71,-5.40657
71.0167,-5.30811
71.0333,-5.20225
71.05,-5.08918
71.0667,-4.96907
71.0833,-4.84204
71.1,-4.70827
71.1167,-4.568
71.1333,-4.42135
71.15,-4.26858
71.1667,-4.10991
71.1833,-3.94551
71.2,-3.77561
71.2167,-3.60051
71.2333,-3.4204
71.25,-3.23554
71.2667,-3.04622
71.2833,-2.85263
